Z;Unit;Year;Hydrocarbon;Sector;Production source;Reason;Value
Botswana;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Fugitive;0.0
Botswana;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Incomplete-flare;0.0
Botswana;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Vented;0.0
Botswana;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - downstream;Satellite - downstream;Fugitive;0.0
Botswana;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - upstream;Satellite - upstream;Fugitive;0.0
Brazil;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Fugitive;8.421.233.333.333.330
Brazil;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Incomplete-flare;0.0
Brazil;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Vented;210.135
Brazil;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Fugitive;310.321
Brazil;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Vented;4.901.133.333.333.330
Brazil;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Fugitive;26.150.466.666.666.600
Brazil;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Incomplete-flare;0.0
Brazil;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Vented;6.525.333.333.333.330
Brazil;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Fugitive;0.0
Brazil;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Incomplete-flare;0.0
Brazil;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Vented;0.0
Brazil;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Fugitive;19.623.033.333.333.300
Brazil;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Incomplete-flare;3.183.413.333.333.330
Brazil;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Vented;78.492
Brazil;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Fugitive;10.789.333.333.333.300
Brazil;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Vented;6.327.299.999.999.990
Brazil;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Fugitive;2.599.166.666.666.660
Brazil;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Incomplete-flare;3.948.433.333.333.330
Brazil;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Vented;10.396.666.666.666.600
Brazil;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Fugitive;0.0
Brazil;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Incomplete-flare;0.0151819333333333
Brazil;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Vented;0.0
Brazil;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - downstream;Satellite - downstream;Fugitive;0.0
Brazil;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - upstream;Satellite - upstream;Fugitive;0.0
Brunei;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Fugitive;0.43925
Brunei;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Incomplete-flare;0.0
Brunei;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Vented;109.606
Brunei;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Fugitive;13.705.866.666.666.600
Brunei;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Vented;21.646.766.666.666.600
Brunei;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Fugitive;4.230.366.666.666.660
Brunei;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Incomplete-flare;0.0
Brunei;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Vented;10.556.066.666.666.600
Brunei;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Fugitive;0.0
Brunei;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Incomplete-flare;0.0
Brunei;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Vented;0.0
Brunei;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Fugitive;0.237865
Brunei;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Incomplete-flare;0.45129
Brunei;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Vented;0.95146
Brunei;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Fugitive;0.0037512333333333
Brunei;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Vented;0.0219987666666666
Brunei;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Fugitive;3.509.866.666.666.660
Brunei;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Incomplete-flare;2.055.013.333.333.330
Brunei;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Vented;14.039.466.666.666.600
Brunei;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Fugitive;0.0
Brunei;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Incomplete-flare;0.0
Brunei;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Vented;0.0
